,smiles,IC50,pchembl,type,ID
1189,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC3CCC3)C(=O)C(=O)N)C2(C)C)C(C)(C)C,120.0,6.92,IC50,CHEMBL218394
423,CN1CCN(CC1)c2ccc(CCNC(=O)c3cnc(nc3NC4CCCCC4)C#N)cc2,0.48,9.32,IC50,CHEMBL219536
1443,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4occc4,5.6,8.25,IC50,CHEMBL2203326
1416,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)C4CCCC4,130.0,6.89,IC50,CHEMBL2203330
422,COc1ccc(CCNC(=O)c2cnc(nc2NCC(C)(C)C)C#N)cc1,1.6,8.8,IC50,CHEMBL220496
1392,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](N[C@@H]([C@@H](NC(=O)c3cnccn3)C4CCCCC4)C(F)(F)F)C(C)(C)C)C(=O)C(=O)NC5CC5,2.0,8.7,IC50,CHEMBL2205016
1391,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](N[C@H]([C@@H](NC(=O)c3cnccn3)C4CCCCC4)C(F)(F)F)C(C)(C)C)C(=O)C(=O)NC5CC5,0.6,9.22,IC50,CHEMBL2205017
1452,NC(=O)c1ccc(cc1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,10.0,8.0,IC50,CHEMBL2207150
1451,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)N4CCOCC4,5.2,8.28,IC50,CHEMBL2207151
1450,C[C@](NCc1ccsc1)(C2CCCCC2)c3cn(nn3)C4(CC4)C#N,28.0,7.55,IC50,CHEMBL2207152
1395,C[C@](NCc1ccccc1)(C2CCCCC2)c3cn(nn3)C4(CC4)C#N,4.0,8.4,IC50,CHEMBL2207153
1394,N#CC1(CC1)n2cc(nn2)[C@@H](NCc3ccsc3)C4CCCCC4,39.0,7.41,IC50,CHEMBL2207154
1393,N#CC1(CC1)n2cc(nn2)[C@@H](NCc3ccccc3)C4CCCCC4,110.0,6.96,IC50,CHEMBL2207155
1446,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cccs4,3.2,8.49,IC50,CHEMBL2207156
1445,Fc1ccc(cc1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,4.9,8.31,IC50,CHEMBL2207157
1444,COc1cccc(c1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,5.4,8.27,IC50,CHEMBL2207158
1442,Clc1cccc(c1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,5.7,8.24,IC50,CHEMBL2207159
